Kód;Název;P/V;Obor
DLTX63Y;Lesní tìba;V;XHUPLE
DLTX64Y;Lesní dopravnictví;V;XHUPLE
DLOX01Y;Ochrana lesù-abiotièní škodlivı èinitelé a obratlovci;P;XOCHLE
DLOX02Y;Ochrana lesù -l esnická fytopatologie;P;XOCHLE
DLOX05Y;Ochrana lesù-hmyzí škùdci;P;XOCHLE
DLHX12Y;Aplikovaná statistika;V;XOCHLE
DLDX18Y;Fyziologie lesních døevin;V;XOCHLE
DLEX12Y;Ekologie;V;XOCHLE
DLEX31Y;Zoologie;V;XOCHLE
DLOX03Y;Mykologie;V;XOCHLE
DLOX04Y;Obecná fytopatologie;V;XOCHLE
DLOX06Y;Obecná entomologie;V;XOCHLE
DLOX07Y;Systematická entomologie;V;XOCHLE
DLOX08Y;Myslivost;V;XOCHLE
DLPX02Y;Pìstování lesù;V;XOCHLE
DLRX02Y;Ekonomika;V;XOCHLE
DLBX12Y;Protierozní ochrana pùdy;P;XOPMEL
DLBX31Y;Úprava vláhového reimu pùd;P;XOPMEL
DLRX06Y;Lesnická a zemìdìlská ekonomika;P;XOPMEL
DLBX11Y;Pozemkové úpravy;V;XOPMEL
DLBX22Y;Malé vodní toky a hrazení bystøín;V;XOPMEL
DLBX23Y;Matematické modelování hydrologickıch procesù;V;XOPMEL
DLBX24Y;Zásady vodního hospodáøství a managementu povodí  ;V;XOPMEL
DLBX32Y;Lesotechnické meliorace;V;XOPMEL
DLBX33Y;Rekultivace pùdy a odpadového hospodáøství;V;XOPMEL
DLPX02Y;Pìstování lesù;V;XOPMEL
DLSX07Y;Numerické metody a programování;V;XOPMEL
DLVX01Y;Hydrologie a hydraulika;V;XOPMEL
DLVX23Y;Matematické modelování hydrologickıch procesù;V;XOPMEL
DAPA03Y;Hydropedologie a pùdní procesy;V;XOPMEL
DAPA06Y;Pùdní chemie;V;XOPMEL
DLBX41Y;Aplikace GIS;V;XOPMEL
DLPX01Y;Ekologie lesa;P;XPESLE
DLPX02Y;Pìstování lesù;P;XPESLE
DLHX03Y;Produkce lesù;P;XPESLE
DLDX16Y;Fytocenologie a typologie;V;XPESLE
DLDX18Y;Fyziologie lesních døevin;V;XPESLE
DAPA05Y;Lesnická pedologie;V;XPESLE
DAAA01Y;Aplikovaná meteorologie a klimatologie;V;XPESLE
DLHX01Y;Hospodáøská úprava lesù;V;XPESLE
DLHX12Y;Aplikovaná statistika;V;XPESLE
DLRX04Y;Ekonomika lesního hospodáøství;P;XREPOD
DLRX09Y;Øízení lesního hospodáøství;P;XREPOD
DLRX01Y;Ekonometrie;V;XREPOD
DLRX05Y;Ekonomika ivotního prostøedí;V;XREPOD
DLRX07Y;Lesnická politika;V;XREPOD
DLRX10Y;Marketing lesního hospodáøství;V;XREPOD
DLRX11Y;Oceòování pøírodních zdrojù;V;XREPOD
DLRX12Y;Oceòování lesù;V;XREPOD
DLRX08Y;Odvìtvová ekonomika a øízení podniku;P;XTMELH
DLTX50Y;Lesní tìba a dopravnictví;P;XTMELH
DLTX51Y;Mechanizace v lesním hospodáøství;P;XTMELH
DLDX13Y;Anatomie a fyziologie døeva;V;XTMELH
DLEX12Y;Ekologie;V;XTMELH
DLEX46Y;Ochrana ivotního prostøedí;V;XTMELH
DLPX02Y;Pìstování lesù;V;XTMELH
DLTX52Y;Teorie dìlení a øezání døeva;V;XTMELH
DLTX53Y;Teorie a stavba strojù;V;XTMELH
DLTX54Y;Vyuití biomasy;V;XTMELH
DLTX55Y;Základy terramechaniky;V;XTMELH
DLTX56Y;Lesnická mechanizace;V;XTMELH
DLTX57Y;Les. modelování systémù;V;XTMELH
DLTX58Y;Les. vliv techniky na ivotní prostøedí;V;XTMELH
DLTX59Y;Nauka o døevì;V;XTMELH
DLTX60Y;Anatomie døeva;V;XTMELH
DLTX61Y;Chemie døeva;V;XTMELH
DLTX62Y;Ochrana døeva;V;XTMELH
DLTX63Y;Lesní tìba speciální;V;XTMELH
DLTX64Y;Lesní dopravnictví;V;XTMELH
DLTX65Y;Lesní pøidruená vıroba;V;XTMELH
DLTX66Y;Technická mechanika pro lesní inenırství;V;XTMELH
DLTX67Y;Zpøístupnìní lesa;V;XTMELH
DLHX01Y;Hospodáøská úprava lesù;V;XTMELH
DLHX12Y;Aplikovaná statistika;V;XTMELH
DLSX06Y;Hydroinformatika;P;XZLHYD
DLVX01Y ;Hydrologie a hydraulika;P;XZLHYD
DLBX12Y;Protierozní ochrana pùdy;V;XZLHYD
DLBX21Y;Malé vodní toky a nádre;V;XZLHYD
DLVX03Y;Vodní hospodáøství;V;XZLHYD
DLVX18Y;Transport zneèištìní v povodí;V;XZLHYD
DLVX19Y;Zdravotní inenırství ;V;XZLHYD
DAPA04Y;Fyzika pùdy;V;XZLHYD
DAAA01Y;Aplikovaná meteorologie a klimatologie;V;XZLHYD
DLVX24Y;Matematické modelování hydrologickıch procesù;V;XZLHYD
DLBX41Y;Aplikace GIS;V;XZLHYD
